name,coords,type,category,tags,address,website
Cinar's Feinkost,"48.007998733295445, 9.511538776002238","Imbiss, Fastfood",Einkehren,,Platzstraße 24,https://cinars-feinkost.metro.biz/
City Kebap Pizza ,"48.016936281376736, 9.499003534029331","Imbiss, Fastfood",Einkehren,,Bachstraße 2,
Mc Donalds ,"48.021427891636435, 9.48884489932253","Imbiss, Fastfood",Einkehren,,Herbertinger Straße 45,https://www.mcdonalds.com/
Pizza und Kebap Oase ,"48.01821627397139, 9.50018040062774","Imbiss, Fastfood",Einkehren,,Oberamteistraße 6,
Royal 52 Pizza Kebap ,"48.01089464697687, 9.498827700327485","Imbiss, Fastfood",Einkehren,,Sießener Straße 14,https://royal52-bad-saulgau.eatbu.com/?lang=de
SUBWAY ,"48.02263053031916, 9.487439556089738","Imbiss, Fastfood",Einkehren,,Herbertinger Straße 56,https://restaurants.subway.com
Anh Bay Asia Bistro ,"48.01388799238572, 9.499797199283872",Restaurant ,Einkehren,,Paradiesstraße 23,
Asia Hirsch ,"48.01678300141691, 9.500115986534883",Restaurant ,Einkehren,,Hauptstraße 74,Menue - Japanisches Restaurant mit Fusionküche
Athen ,"48.01913241186513, 9.497829993475959",Restaurant ,Einkehren,,Hauptstraße 23,https://www.athen-badsaulgau.de/
Baffo Italian Food,"48.01706357818304, 9.499516465479083",Restaurant ,Einkehren,regional,Marktplatz 4,https://www.baffoitalianrestaurant.com/
Da Antonella,"48.0039143758951, 9.57293225068967",Restaurant ,Einkehren,regional,Hochstraße 37,https://www.zumhasen.de/
Gasthaus Bürgerstüble ,"48.01618876663816, 9.502480527105782",Restaurant ,Einkehren,regional,Blauwstraße 12 ,
Gaststätte Schwarzer Adler ,"48.01773413605885, 9.498983160844926",Restaurant ,Einkehren,"fair, bio, regional",Hauptstraße 41,https://schwarzeradler-bs.de/
Golfclub Restaurant ,"47.97939451802627, 9.487118183975058",Restaurant ,Einkehren,regional,Koppelweg 103,https://www.gc-bs.de/restaurant/
Kim-Wok,"48.01802925182274, 9.498433838038567",Restaurant ,Einkehren,,Hauptstraße 35,
Kleber Post,"48.01507942956156, 9.501219931847638",Restaurant ,Einkehren,"bio, regional",Poststraße 1,https://www.kleberpost.de/de/geniessen/
La Romantica ,"48.01623592932665, 9.501714404349066",Restaurant ,Einkehren,,Blauwstraße 1,
Ochsen Restaurant & Steakhaus,"48.0162671548789, 9.50011265960589",Restaurant ,Einkehren,regional,Paradiesstraße 6,https://ochsen-bad-saulgau.de/
Pizzeria Alte Linde ,"48.01683806438657, 9.498220646107255",Restaurant ,Einkehren,regional,Lindenstraße 10 ,https://www.pizzeria-altelinde.de/
Restaurant Café Haus am Markt ,"48.017718619243034, 9.499474997467631",Restaurant ,Einkehren,regional,Marktplatz 1,https://www.restaurant-bad-saulgau.de/
Restaurant La Terrazza ,"48.0135371679307, 9.501934886038622",Restaurant ,Einkehren,,Karlstraße 13,https://www.komforthotels.de/restaurant
RIGG'S Burger & Grill,"48.02889359590963, 9.50548599746817",Restaurant ,Einkehren,regional,Glockeneichweg 134 ,https://www.riggs-burger.com/rigg-s-bad-saulgau
Seestüble ,"48.008158394947685, 9.459104839794483",Restaurant ,Einkehren,"bio, regional",Wagenhausen 3 ,
Thermalbad Restaurant ,"48.01601097222276, 9.487225415604392",Restaurant ,Einkehren,regional,Am Schönen Moos 1 ,https://www.sonnenhof-therme.de/sonnenhof-therme/restaurant/
Trattoria zum Bach ,"48.01756416923844, 9.4986440286226",Restaurant ,Einkehren,regional,Hauptstraße 48,https://www.facebook.com/trattoria.alcapone?ref=bookmarks
Wirtshaus Paradies ,"48.01169351005791, 9.50051385899582",Restaurant ,Einkehren,regional,Paradiesstraße 43,https://www.wirtshaus-paradies.de/de/
